Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:08:16   0.43    0.49    0.01    0.00    0.18    1.10     6.1G   36.8G  352.6M   82.5G  125.8G   29.29   
17/11/24-16:08:21   0.38    0.45    0.01    0.00    0.17    1.00     6.1G   36.9G  352.6M   82.5G  125.8G   29.30   
17/11/24-16:08:26   0.49    0.41    0.06    0.00    0.21    1.10     6.1G   36.9G  352.6M   82.5G  125.8G   29.30   
17/11/24-16:08:31   0.54    0.76    0.19    0.00    0.29    1.60     6.1G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:08:36   0.42    0.46    0.01    0.00    0.20    1.08     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:08:41   0.42    0.50    0.01    0.00    0.28    1.21     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:08:46   0.37    0.44    0.01    0.00    0.16    0.96     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:08:51   0.44    0.39    0.01    0.00    0.20    1.04     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:08:56   0.44    0.39    0.01    0.00    0.19    1.03     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:09:01   0.55    0.50    0.01    0.00    0.16    1.21     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:09:06   0.50    0.42    0.01    0.00    0.14    1.06     6.0G   36.9G  352.6M   82.5G  125.8G   29.31   
17/11/24-16:09:11   1.91    2.58    0.01    0.00    0.38    4.87     5.7G   37.2G  352.6M   82.5G  125.8G   29.56   
17/11/24-16:09:16  21.48    6.30    0.00    0.00    1.09   47.23     5.2G   37.7G  352.6M   82.5G  125.8G   29.94   
17/11/24-16:09:21  32.89    9.83    0.01    0.00    1.31   75.69     5.1G   37.8G  352.6M   82.5G  125.8G   30.02   
17/11/24-16:09:26  27.83    9.08    0.03    0.00    1.12   64.06     5.3G   37.6G  352.6M   82.5G  125.8G   29.87   
17/11/24-16:09:31  11.69    4.02    0.23    0.00    0.77   27.40     5.2G   37.7G  352.6M   82.5G  125.8G   29.98   
17/11/24-16:09:36  31.99    9.50    0.00    0.00    1.38   78.75     5.1G   37.8G  352.6M   82.5G  125.8G   30.03   
17/11/24-16:09:41  31.74    9.26    0.01    0.00    1.30   79.69     5.1G   37.8G  352.6M   82.5G  125.8G   30.05   
17/11/24-16:09:46  11.95    4.01    0.01    0.00    0.70   28.20     5.5G   37.4G  352.6M   82.5G  125.8G   29.75   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:09:51  19.83    6.49    0.00    0.00    0.99   69.87     5.2G   37.7G  352.6M   82.5G  125.8G   30.00   
17/11/24-16:09:56  25.75    7.97    0.00    0.00    0.99   89.49     5.1G   37.8G  352.6M   82.5G  125.8G   30.03   
17/11/24-16:10:01  25.29    7.67    0.01    0.00    1.22   86.85     5.1G   37.8G  352.6M   82.5G  125.8G   30.04   
17/11/24-16:10:06  27.61    7.66    0.00    0.00    1.14   88.72     4.8G   38.1G  352.6M   82.5G  125.8G   30.26   
17/11/24-16:10:11   5.17    2.21    0.00    0.00    0.49   13.50     5.2G   37.7G  352.6M   82.5G  125.8G   29.97   
17/11/24-16:10:16  17.95    6.31    0.00    0.00    0.78   95.68     5.2G   37.7G  352.6M   82.5G  125.8G   29.99   
17/11/24-16:10:21  17.40    6.29    0.01    0.00    0.77   96.00     5.2G   37.8G  352.6M   82.5G  125.8G   30.02   
17/11/24-16:10:26  18.00    6.55    0.01    0.00    0.79   96.30     5.1G   37.8G  352.6M   82.5G  125.8G   30.05   
17/11/24-16:10:31  18.14    6.70    0.03    0.00    0.71   95.21     5.1G   37.8G  352.7M   82.5G  125.8G   30.05   
17/11/24-16:10:36  17.66    6.43    0.01    0.00    0.77   96.88     5.1G   37.8G  352.7M   82.5G  125.8G   30.07   
17/11/24-16:10:41  17.84    6.12    0.00    0.00    0.76   96.38     5.1G   37.8G  352.7M   82.5G  125.8G   30.07   
17/11/24-16:10:46   4.33    2.37    0.01    0.00    0.90   19.07     5.2G   37.7G  352.7M   82.5G  125.8G   29.97   
17/11/24-16:10:51  11.37    4.42    0.00    0.00    0.52   97.25     5.2G   37.7G  352.7M   82.5G  125.8G   29.99   
17/11/24-16:10:56   8.59    3.82    0.00    0.00    0.45   96.93     5.2G   37.7G  352.7M   82.5G  125.8G   30.00   
17/11/24-16:11:01   9.20    3.93    0.00    0.00    0.38   97.85     5.1G   37.8G  352.7M   82.5G  125.8G   30.02   
17/11/24-16:11:06   9.32    4.06    0.00    0.00    0.40   97.69     5.1G   37.8G  352.7M   82.5G  125.8G   30.03   
17/11/24-16:11:11   9.27    4.15    0.00    0.00    0.41   98.04     5.1G   37.8G  352.7M   82.5G  125.8G   30.04   
17/11/24-16:11:16   8.60    3.93    0.00    0.00    0.38   97.67     5.1G   37.8G  352.7M   82.5G  125.8G   30.04   
17/11/24-16:11:21  10.13    3.90    0.00    0.00    0.43   97.03     5.1G   37.8G  352.7M   82.5G  125.8G   30.06   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:11:26   9.07    3.98    0.01    0.00    0.45   97.00     5.1G   37.8G  352.7M   82.5G  125.8G   30.07   
17/11/24-16:11:31   7.42    4.08    0.03    0.00    0.34   68.23     5.5G   37.4G  352.7M   82.5G  125.8G   29.73   
17/11/24-16:11:36   4.24    1.35    0.01    0.00    1.04   26.38     5.2G   37.7G  352.7M   82.5G  125.8G   29.98   
17/11/24-16:11:41   6.00    2.99    0.00    0.00    0.36   98.35     5.2G   37.7G  352.7M   82.5G  125.8G   30.00   
17/11/24-16:11:46   6.04    3.08    0.00    0.00    0.30   98.53     5.2G   37.7G  352.7M   82.5G  125.8G   30.00   
17/11/24-16:11:51   6.31    2.75    0.00    0.00    0.26   97.99     5.1G   37.8G  352.7M   82.5G  125.8G   30.02   
17/11/24-16:11:56   6.48    3.14    0.00    0.00    0.33   98.00     5.1G   37.8G  352.7M   82.5G  125.8G   30.05   
17/11/24-16:12:01   5.94    2.92    0.00    0.00    0.24   99.03     5.1G   37.8G  352.7M   82.5G  125.8G   30.05   
17/11/24-16:12:06   9.49    4.33    0.00    0.00    0.48   97.63     5.1G   37.8G  352.7M   82.5G  125.8G   30.05   
17/11/24-16:12:11   9.38    4.21    0.00    0.00    0.45   97.93     5.1G   37.8G  352.7M   82.5G  125.8G   30.05   
17/11/24-16:12:16   8.86    3.97    0.00    0.00    0.48   98.54     5.1G   37.8G  352.7M   82.5G  125.8G   30.06   
17/11/24-16:12:21   9.00    3.94    0.00    0.00    0.47   98.08     5.1G   37.8G  352.7M   82.5G  125.8G   30.06   
17/11/24-16:12:26   9.41    4.60    0.02    0.00    0.43   98.24     5.1G   37.8G  352.7M   82.5G  125.8G   30.07   
17/11/24-16:12:31   9.86    5.27    0.03    0.00    0.44   98.19     5.1G   37.8G  352.8M   82.5G  125.8G   30.07   
17/11/24-16:12:36   8.02    3.96    0.01    0.00    0.41   84.82     5.2G   37.7G  352.8M   82.5G  125.8G   29.95   
17/11/24-16:12:41   3.78    1.44    0.00    0.00    0.24   32.31     5.2G   37.7G  352.8M   82.5G  125.8G   30.00   
17/11/24-16:12:46   4.87    2.21    0.00    0.00    0.28   99.01     5.2G   37.7G  352.8M   82.5G  125.8G   30.01   
17/11/24-16:12:51   4.53    2.47    0.00    0.00    0.29   99.28     5.2G   37.7G  352.8M   82.5G  125.8G   30.01   
17/11/24-16:12:56   4.67    2.60    0.00    0.00    0.32   99.08     5.2G   37.8G  352.8M   82.5G  125.8G   30.01   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:13:01   5.14    2.34    0.00    0.00    0.30   99.56     5.1G   37.8G  352.8M   82.5G  125.8G   30.02   
17/11/24-16:13:06   3.46    1.94    0.00    0.00    0.18   98.64     5.1G   37.8G  352.8M   82.5G  125.8G   30.03   
17/11/24-16:13:11   2.87    1.63    0.00    0.00    0.12   99.11     5.1G   37.8G  352.8M   82.5G  125.8G   30.02   
17/11/24-16:13:16   2.63    1.51    0.00    0.00    0.14   99.44     5.1G   37.8G  352.8M   82.5G  125.8G   30.03   
17/11/24-16:13:21   3.49    1.80    0.00    0.00    0.14   98.06     5.1G   37.8G  352.8M   82.5G  125.8G   30.03   
17/11/24-16:13:26   2.97    1.71    0.00    0.00    0.13   99.61     5.1G   37.8G  352.8M   82.5G  125.8G   30.04   
17/11/24-16:13:31   3.12    2.10    0.02    0.00    0.12   99.26     5.1G   37.8G  352.8M   82.5G  125.8G   30.04   
17/11/24-16:13:36   2.82    1.77    0.00    0.00    0.14   98.86     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:13:41   4.38    1.60    0.00    0.00    0.14   99.04     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:13:46   3.34    1.68    0.01    0.00    0.13   99.18     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:13:51   2.72    1.71    0.00    0.00    0.13   99.24     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:13:56   2.79    1.63    0.00    0.00    0.13   99.15     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:14:01   3.46    1.73    0.00    0.00    0.13   99.26     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:14:06   2.81    1.58    0.00    0.00    0.18   99.27     5.1G   37.8G  352.8M   82.5G  125.8G   30.05   
17/11/24-16:14:11   2.90    1.57    0.00    0.00    0.13   99.67     5.1G   37.8G  352.8M   82.5G  125.8G   30.06   
