Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:12:59   0.52    0.93    0.13    0.00    0.08    1.53    11.1G    5.1G  343.7M  109.3G  125.8G    4.08   
10/11/24-05:13:04   0.13    0.14    0.01    0.00    0.00    0.27    11.0G    5.1G  343.7M  109.3G  125.8G    4.08   
10/11/24-05:13:09   0.81    1.92    0.10    0.00    0.02    2.75    11.1G    5.1G  343.9M  109.3G  125.8G    4.07   
10/11/24-05:13:14   0.33    0.29    0.08    0.00    0.02    0.63    11.0G    5.1G  343.9M  109.3G  125.8G    4.07   
10/11/24-05:13:19   0.74    0.65    0.08    0.00    0.03    1.42    11.0G    5.1G  343.9M  109.3G  125.8G    4.08   
10/11/24-05:13:24   5.29    1.75    0.26    0.00    0.11    7.15    10.1G    6.0G  344.1M  109.3G  125.8G    4.79   
10/11/24-05:13:29   6.53    0.99    0.60    0.00    0.20    7.72    10.0G    6.1G  344.2M  109.3G  125.8G    4.85   
10/11/24-05:13:34   0.18    0.20    0.01    0.00    0.01    0.39    10.0G    6.1G  344.2M  109.3G  125.8G    4.85   
10/11/24-05:13:39   0.34    0.23    0.01    0.00    0.02    0.59    10.0G    6.1G  344.2M  109.3G  125.8G    4.84   
10/11/24-05:13:44   0.23    0.23    0.14    0.00    0.02    0.47    10.0G    6.1G  344.6M  109.4G  125.8G    4.84   
10/11/24-05:13:49   0.19    0.18    0.00    0.00    0.01    0.38    10.0G    6.1G  344.6M  109.4G  125.8G    4.84   
10/11/24-05:13:54   0.15    0.14    0.01    0.00    0.02    0.31    10.0G    6.1G  344.6M  109.4G  125.8G    4.84   
10/11/24-05:13:59   0.19    0.26    0.09    0.00    0.04    0.49    10.0G    6.1G  344.6M  109.4G  125.8G    4.84   
10/11/24-05:14:04   1.60    2.00    0.14    0.00    0.05    3.65    10.0G    6.1G  344.6M  109.4G  125.8G    4.86   
10/11/24-05:14:09   0.13    0.17    0.02    0.00    0.03    0.33    10.0G    6.1G  344.6M  109.4G  125.8G    4.86   
10/11/24-05:14:14   0.12    0.09    0.01    0.00    0.01    0.22    10.0G    6.1G  344.6M  109.4G  125.8G    4.86   
10/11/24-05:14:19   0.16    0.14    0.01    0.00    0.02    0.31    10.0G    6.1G  344.6M  109.4G  125.8G    4.86   
10/11/24-05:14:24   1.70    2.07    0.27    0.00    0.08    3.85     9.9G    6.1G  344.6M  109.4G  125.8G    4.88   
10/11/24-05:14:29   7.31    0.90    1.99    0.00    0.25    8.45     8.7G    7.1G  344.6M  109.6G  125.8G    5.67   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:14:34  22.37    0.98    2.89    0.00    0.78   24.13     7.9G    7.4G  344.6M  110.1G  125.8G    5.88   
10/11/24-05:14:39  22.38    1.40    2.44    0.00    0.70   24.48     6.2G    8.5G  344.6M  110.7G  125.8G    6.76   
10/11/24-05:14:44  22.31    1.04    2.11    0.00    0.64   23.99     5.3G    8.8G  344.6M  111.3G  125.8G    7.01   
10/11/24-05:14:49  21.47    1.13    2.70    0.00    0.54   23.15     4.4G    9.1G  344.6M  111.9G  125.8G    7.26   
10/11/24-05:14:54  21.39    1.32    3.05    0.00    0.52   23.23     3.0G    9.9G  344.6M  112.5G  125.8G    7.85   
10/11/24-05:14:59  22.37    1.22    2.25    0.00    0.68   24.27     2.1G   10.2G  344.7M  113.1G  125.8G    8.11   
10/11/24-05:15:04  22.50    1.42    3.08    0.00    0.60   24.52     1.2G   10.5G  344.7M  113.7G  125.8G    8.36   
10/11/24-05:15:09  21.97    1.25    2.23    0.00    0.58   23.80   725.4M   10.8G  344.7M  113.9G  125.8G    8.61   
10/11/24-05:15:14  21.83    1.18    2.47    0.00    0.62   23.63   765.2M   11.1G  344.6M  113.6G  125.8G    8.86   
10/11/24-05:15:19  22.03    1.43    3.31    0.00    0.57   24.03   816.5M   11.5G  344.2M  113.2G  125.8G    9.10   
10/11/24-05:15:24  22.52    1.11    2.24    0.00    0.45   24.08   771.6M   11.7G  344.2M  113.0G  125.8G    9.33   
10/11/24-05:15:29  21.61    2.54    2.43    0.00    0.31   24.46   904.0M   12.5G  343.9M  112.0G  125.8G    9.97   
10/11/24-05:15:34  21.97    1.12    2.34    0.00    0.30   23.39   812.4M   12.8G  343.7M  111.8G  125.8G   10.20   
10/11/24-05:15:39  21.89    1.23    2.43    0.00    0.50   23.62   779.4M   13.2G  343.3M  111.5G  125.8G   10.48   
10/11/24-05:15:44  22.00    1.11    2.24    0.00    0.31   23.43   715.0M   13.5G  343.3M  111.3G  125.8G   10.72   
10/11/24-05:15:49  21.88    1.24    2.48    0.00    0.36   23.47   817.0M   13.8G  343.3M  110.9G  125.8G   10.97   
10/11/24-05:15:54  21.75    1.32    2.51    0.00    0.39   23.47   878.5M   14.1G  343.3M  110.5G  125.8G   11.23   
10/11/24-05:15:59  22.24    1.31    2.19    0.00    0.45   24.00   808.2M   14.4G  343.3M  110.2G  125.8G   11.46   
10/11/24-05:16:04  21.74    1.23    2.58    0.00    0.61   23.58   826.2M   14.7G  343.3M  109.9G  125.8G   11.71   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:16:09  21.66    1.26    2.66    0.00    0.86   23.77   916.7M   15.1G  343.3M  109.5G  125.8G   11.98   
10/11/24-05:16:14  21.96    1.18    2.44    0.00    0.68   23.82   853.3M   15.4G  343.1M  109.2G  125.8G   12.22   
10/11/24-05:16:19  22.16    1.19    2.31    0.00    0.28   23.63   706.2M   15.7G  342.8M  109.1G  125.8G   12.47   
10/11/24-05:16:24  22.44    1.16    2.09    0.00    0.57   24.18   934.4M   16.0G  342.5M  108.6G  125.8G   12.70   
10/11/24-05:16:29  21.52    1.19    2.79    0.00    0.95   23.66   721.0M   16.3G  342.3M  108.4G  125.8G   12.97   
10/11/24-05:16:34  21.99    1.24    2.46    0.00    0.30   23.53   937.8M   16.6G  342.0M  107.9G  125.8G   13.19   
10/11/24-05:16:39  22.21    1.21    2.34    0.00    0.26   23.68   713.3M   16.9G  341.9M  107.8G  125.8G   13.45   
10/11/24-05:16:44  21.91    1.19    2.09    0.00    0.79   23.89   711.7M   17.2G  341.8M  107.5G  125.8G   13.69   
10/11/24-05:16:49  21.94    1.22    2.34    0.00    0.66   23.82   723.3M   17.5G  341.7M  107.2G  125.8G   13.94   
10/11/24-05:16:54  21.80    1.28    2.44    0.00    0.90   23.98   716.8M   17.9G  341.5M  106.9G  125.8G   14.20   
10/11/24-05:16:59  22.46    1.36    2.22    0.00    0.51   24.33   726.4M   18.1G  341.3M  106.6G  125.8G   14.42   
10/11/24-05:17:04  21.80    1.34    2.75    0.00    0.58   23.72   866.7M   18.4G  341.0M  106.2G  125.8G   14.67   
10/11/24-05:17:09  22.17    1.36    3.04    0.00    0.68   24.22   796.5M   18.7G  340.7M  105.9G  125.8G   14.89   
10/11/24-05:17:14  21.59    1.19    2.46    0.00    0.65   23.43   838.9M   19.1G  340.4M  105.6G  125.8G   15.16   
10/11/24-05:17:19  22.28    1.12    2.00    0.00    0.29   23.69   787.1M   19.3G  340.1M  105.4G  125.8G   15.37   
10/11/24-05:17:24  22.55    2.52    2.54    0.00    0.47   25.55   853.6M   19.7G  339.3M  104.9G  125.8G   15.66   
10/11/24-05:17:29  21.44    3.19    1.63    0.00    0.34   24.96   774.6M   20.0G  338.5M  104.7G  125.8G   15.90   
10/11/24-05:17:34  22.39    1.00    1.92    0.00    0.57   23.96   927.9M   20.3G  338.3M  104.3G  125.8G   16.12   
10/11/24-05:17:39  22.50    1.04    1.91    0.00    0.81   24.35   927.8M   20.5G  338.1M  104.0G  125.8G   16.32   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:17:44  22.91    0.93    1.65    0.00    0.75   24.59   747.9M   20.8G  338.0M  104.0G  125.8G   16.50   
10/11/24-05:17:49  22.50    0.96    2.22    0.00    0.87   24.33   769.9M   21.0G  337.8M  103.7G  125.8G   16.70   
10/11/24-05:17:54  22.69    0.94    2.08    0.00    0.64   24.27   858.1M   21.2G  337.6M  103.4G  125.8G   16.87   
10/11/24-05:17:59  22.89    2.67    5.94    0.00    0.64   26.20   899.0M   21.5G  337.5M  103.1G  125.8G   17.06   
10/11/24-05:18:04  22.00    1.07    2.64    0.00    0.90   23.97   918.7M   21.7G  337.3M  102.9G  125.8G   17.25   
10/11/24-05:18:09  22.08    1.10    2.37    0.00    0.36   23.54   880.1M   22.0G  337.1M  102.6G  125.8G   17.46   
10/11/24-05:18:14  22.29    1.02    2.18    0.00    0.89   24.21   889.3M   22.2G  337.0M  102.4G  125.8G   17.65   
10/11/24-05:18:19  22.73    1.00    1.83    0.00    0.71   24.44   917.6M   22.4G  336.8M  102.1G  125.8G   17.84   
10/11/24-05:18:24  22.69    1.05    2.04    0.00    0.57   24.30   941.9M   22.7G  336.6M  101.9G  125.8G   18.03   
10/11/24-05:18:29  22.56    1.17    2.69    0.00    0.57   24.30   926.4M   22.9G  336.5M  101.6G  125.8G   18.23   
10/11/24-05:18:34  22.57    0.99    1.86    0.00    0.44   24.00   881.9M   23.2G  336.3M  101.4G  125.8G   18.43   
10/11/24-05:18:39  22.80    0.86    1.71    0.00    0.55   24.22   932.3M   23.4G  336.2M  101.1G  125.8G   18.61   
10/11/24-05:18:44  22.44    0.84    1.89    0.00    0.81   24.10   743.1M   23.6G  336.1M  101.1G  125.8G   18.79   
10/11/24-05:18:49  22.37    0.94    1.82    0.00    1.00   24.31   732.1M   23.9G  336.0M  100.9G  125.8G   18.99   
10/11/24-05:18:54  22.15    1.00    2.05    0.00    0.98   24.14   905.7M   24.1G  335.7M  100.4G  125.8G   19.19   
10/11/24-05:18:59  22.68    1.06    2.09    0.00    0.76   24.50   899.6M   24.4G  335.5M  100.2G  125.8G   19.39   
10/11/24-05:19:04  22.71    0.99    1.87    0.00    0.47   24.17   898.6M   24.6G  335.4M  100.0G  125.8G   19.58   
10/11/24-05:19:09  22.45    0.98    2.14    0.00    0.75   24.19   911.2M   24.9G  335.2M   99.7G  125.8G   19.77   
10/11/24-05:19:14  22.56    0.95    1.83    0.00    1.11   24.62   933.0M   25.1G  335.0M   99.5G  125.8G   19.95   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:19:19  22.23    1.04    2.16    0.00    1.12   24.39   879.3M   25.3G  334.9M   99.3G  125.8G   20.15   
10/11/24-05:19:24  22.38    1.03    2.12    0.00    0.51   23.93   822.2M   25.6G  334.7M   99.1G  125.8G   20.36   
10/11/24-05:19:29  22.55    0.96    2.04    0.00    0.81   24.31   817.9M   25.8G  334.5M   98.8G  125.8G   20.54   
10/11/24-05:19:34  22.36    0.88    1.97    0.00    0.88   24.12   822.1M   26.1G  334.4M   98.6G  125.8G   20.73   
10/11/24-05:19:39  22.53    0.94    1.99    0.00    1.15   24.63   791.1M   26.3G  334.2M   98.4G  125.8G   20.93   
10/11/24-05:19:44  22.54    0.99    1.92    0.00    0.92   24.44   795.1M   26.6G  334.1M   98.1G  125.8G   21.11   
10/11/24-05:19:49  22.24    0.98    2.19    0.00    0.73   23.95   757.0M   26.8G  334.1M   97.9G  125.8G   21.31   
10/11/24-05:19:54  22.34    1.00    2.06    0.00    0.92   24.26   923.9M   27.1G  333.9M   97.5G  125.8G   21.51   
10/11/24-05:19:59  22.52    1.21    2.10    0.00    0.95   24.68   928.1M   27.3G  333.8M   97.3G  125.8G   21.69   
10/11/24-05:20:04  22.31    0.92    2.23    0.00    0.99   24.22   939.3M   27.5G  333.6M   97.0G  125.8G   21.87   
10/11/24-05:20:09  22.80    0.95    1.82    0.00    0.51   24.26   933.6M   27.7G  333.4M   96.8G  125.8G   22.06   
10/11/24-05:20:14  22.64    1.00    1.90    0.00    0.57   24.20   937.5M   28.0G  333.2M   96.6G  125.8G   22.24   
10/11/24-05:20:19  22.37    1.06    2.10    0.00    0.46   23.89   878.0M   28.2G  333.1M   96.4G  125.8G   22.43   
10/11/24-05:20:24  22.16    1.00    2.28    0.00    0.44   23.59   843.1M   28.5G  332.9M   96.2G  125.8G   22.62   
10/11/24-05:20:29  22.10    0.95    2.53    0.00    0.75   23.79   805.4M   28.7G  332.8M   96.0G  125.8G   22.81   
10/11/24-05:20:34  22.45    0.93    2.07    0.00    0.76   24.14   781.6M   28.9G  332.6M   95.8G  125.8G   23.01   
10/11/24-05:20:39  22.53    0.99    2.16    0.00    0.70   24.22   748.0M   29.2G  332.5M   95.6G  125.8G   23.19   
10/11/24-05:20:44  22.66    0.87    1.82    0.00    0.38   23.91   769.5M   29.4G  332.3M   95.3G  125.8G   23.37   
10/11/24-05:20:49  22.78    0.88    1.77    0.00    0.37   24.03   758.0M   29.6G  328.7M   95.1G  125.8G   23.55   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:20:54  22.58    0.96    1.94    0.00    0.58   24.12   719.0M   29.9G  323.9M   94.9G  125.8G   23.73   
10/11/24-05:20:59  22.52    1.19    2.22    0.00    0.52   24.23   852.3M   30.1G  323.7M   94.5G  125.8G   23.94   
10/11/24-05:21:04  22.64    2.27    1.82    0.00    0.81   25.72   870.0M   30.4G  323.3M   94.2G  125.8G   24.18   
10/11/24-05:21:09  20.96    3.26    1.69    0.00    0.81   25.03   752.5M   30.7G  322.8M   94.1G  125.8G   24.38   
10/11/24-05:21:14  23.14    0.87    1.54    0.00    0.52   24.52   865.8M   30.9G  318.0M   93.8G  125.8G   24.53   
10/11/24-05:21:19  23.03    0.85    1.69    0.00    0.63   24.51   756.6M   31.0G  302.6M   93.7G  125.8G   24.68   
10/11/24-05:21:24  23.32    0.80    1.42    0.00    0.31   24.42   857.8M   31.2G  291.7M   93.4G  125.8G   24.83   
10/11/24-05:21:29  23.10    0.84    1.60    0.00    0.43   24.37   839.5M   31.4G  291.6M   93.3G  125.8G   24.98   
10/11/24-05:21:34  23.00    1.16    2.32    0.00    0.72   24.88   957.9M   31.6G  291.2M   92.9G  125.8G   25.13   
10/11/24-05:21:39  23.19    1.54    3.60    0.00    0.49   25.22   895.9M   31.8G  291.0M   92.8G  125.8G   25.28   
10/11/24-05:21:44  23.66    0.74    1.22    0.00    0.38   24.77   848.3M   32.0G  290.7M   92.7G  125.8G   25.41   
10/11/24-05:21:49  22.89    0.74    1.70    0.00    0.46   24.09   740.0M   32.2G  290.5M   92.6G  125.8G   25.57   
10/11/24-05:21:54  23.10    0.85    1.56    0.00    0.24   24.19   892.9M   32.4G  290.0M   92.3G  125.8G   25.73   
10/11/24-05:21:59  23.04    1.06    1.84    0.00    0.21   24.31   912.2M   32.5G  289.4M   92.1G  125.8G   25.88   
10/11/24-05:22:04  23.38    0.86    1.44    0.00    0.09   24.33   898.9M   32.7G  289.2M   91.9G  125.8G   26.03   
10/11/24-05:22:09  22.90    0.89    1.81    0.00    0.17   23.96   778.1M   32.9G  289.1M   91.8G  125.8G   26.18   
10/11/24-05:22:14  23.30    0.79    1.51    0.00    0.13   24.23   910.5M   33.1G  288.9M   91.5G  125.8G   26.31   
10/11/24-05:22:19  23.30    0.77    1.55    0.00    0.20   24.26   875.4M   33.3G  288.7M   91.4G  125.8G   26.45   
10/11/24-05:22:24  23.31    0.77    1.49    0.00    0.08   24.16   823.2M   33.4G  288.5M   91.3G  125.8G   26.59   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:22:29  23.06    0.81    1.68    0.00    0.12   23.99   722.4M   33.6G  288.3M   91.2G  125.8G   26.74   
10/11/24-05:22:34  23.40    0.83    1.46    0.00    0.07   24.30   876.2M   33.8G  288.0M   90.8G  125.8G   26.88   
10/11/24-05:22:39  22.88    0.86    1.85    0.00    0.29   24.04   782.8M   34.0G  287.9M   90.7G  125.8G   27.03   
10/11/24-05:22:44  23.11    0.90    1.62    0.00    0.28   24.29   907.8M   34.2G  287.6M   90.4G  125.8G   27.18   
10/11/24-05:22:49  23.17    0.76    1.64    0.00    0.19   24.12   789.1M   34.4G  287.5M   90.4G  125.8G   27.33   
10/11/24-05:22:54  23.16    0.86    1.57    0.00    0.19   24.21   907.5M   34.6G  287.3M   90.1G  125.8G   27.48   
10/11/24-05:22:59  23.56    1.71    1.89    0.00    0.26   25.53   809.2M   34.8G  287.7M   90.0G  125.8G   27.63   
10/11/24-05:23:04  22.96    0.84    1.61    0.00    0.47   24.27   939.1M   34.9G  287.4M   89.6G  125.8G   27.78   
10/11/24-05:23:09  23.26    0.75    1.53    0.00    0.59   24.60   841.2M   35.1G  287.2M   89.5G  125.8G   27.93   
10/11/24-05:23:14  23.23    0.82    1.42    0.00    0.47   24.52   742.6M   35.3G  287.1M   89.5G  125.8G   28.08   
10/11/24-05:23:19  23.34    0.76    1.58    0.00    0.14   24.25   885.7M   35.5G  286.7M   89.1G  125.8G   28.22   
10/11/24-05:23:24  23.54    0.76    1.33    0.00    0.10   24.40   834.9M   35.7G  286.5M   89.0G  125.8G   28.36   
10/11/24-05:23:29  23.98    0.84    1.53    0.00    0.14   24.97   726.3M   35.9G  286.5M   88.9G  125.8G   28.51   
10/11/24-05:23:34  23.23    0.81    1.58    0.00    0.16   24.20   853.3M   36.1G  286.2M   88.6G  125.8G   28.66   
10/11/24-05:23:39  23.08    0.86    1.68    0.00    0.08   24.02   734.7M   36.2G  286.0M   88.5G  125.8G   28.82   
10/11/24-05:23:44  23.31    0.82    1.47    0.00    0.11   24.24   902.0M   36.4G  285.7M   88.2G  125.8G   28.96   
10/11/24-05:23:49  23.22    0.81    1.56    0.00    0.13   24.16   815.5M   36.6G  285.4M   88.1G  125.8G   29.10   
10/11/24-05:23:54  23.28    0.84    1.54    0.00    0.13   24.25   721.9M   36.8G  285.2M   88.0G  125.8G   29.25   
10/11/24-05:23:59  23.37    0.99    1.66    0.00    0.14   24.50   843.2M   37.0G  284.8M   87.7G  125.8G   29.40   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:24:04  23.20    0.79    1.60    0.00    0.09   24.09   723.8M   37.2G  284.5M   87.6G  125.8G   29.56   
10/11/24-05:24:09  23.10    0.84    1.61    0.00    0.18   24.11   719.6M   37.4G  284.3M   87.4G  125.8G   29.71   
10/11/24-05:24:14  23.43    0.79    1.29    0.00    0.10   24.32   729.2M   37.5G  284.0M   87.2G  125.8G   29.85   
10/11/24-05:24:19  23.27    0.82    1.56    0.00    0.24   24.33   719.8M   37.7G  283.8M   87.1G  125.8G   30.01   
10/11/24-05:24:24  23.42    0.79    1.46    0.00    0.10   24.31   719.8M   37.9G  283.5M   86.9G  125.8G   30.15   
10/11/24-05:24:29  23.07    0.86    1.71    0.00    0.12   24.06   730.2M   38.1G  283.2M   86.7G  125.8G   30.31   
10/11/24-05:24:34  23.48    0.76    1.41    0.00    0.19   24.43   729.5M   38.3G  283.0M   86.5G  125.8G   30.45   
10/11/24-05:24:39  22.87    0.89    1.78    0.00    0.18   23.93   797.8M   38.5G  283.0M   86.2G  125.8G   30.60   
10/11/24-05:24:44  23.27    0.80    1.51    0.00    0.46   24.53   937.3M   38.7G  282.7M   85.9G  125.8G   30.74   
10/11/24-05:24:49  23.09    0.76    1.51    0.00    0.96   24.81   828.3M   38.9G  282.4M   85.8G  125.8G   30.89   
10/11/24-05:24:54  23.52    0.75    1.14    0.00    0.63   24.91   781.3M   39.0G  282.1M   85.7G  125.8G   31.02   
10/11/24-05:24:59  22.99    0.96    1.97    0.00    0.64   24.59   716.7M   39.2G  281.9M   85.6G  125.8G   31.17   
10/11/24-05:25:04  23.14    0.85    1.44    0.00    0.63   24.61   833.1M   39.4G  281.4M   85.3G  125.8G   31.31   
10/11/24-05:25:09  22.89    0.94    1.67    0.00    0.46   24.28   737.4M   39.6G  280.4M   85.2G  125.8G   31.47   
10/11/24-05:25:14  22.93    0.93    1.68    0.00    0.43   24.29   848.6M   39.8G  279.6M   84.9G  125.8G   31.63   
10/11/24-05:25:19  23.34    0.77    1.40    0.00    0.32   24.43   791.9M   39.9G  279.4M   84.8G  125.8G   31.75   
10/11/24-05:25:24  23.32    0.81    1.32    0.00    0.30   24.43   914.4M   40.1G  279.0M   84.5G  125.8G   31.89   
10/11/24-05:25:29  23.53    0.70    1.61    0.00    0.52   24.75   839.5M   40.3G  278.8M   84.4G  125.8G   32.02   
10/11/24-05:25:34  22.06    0.97    2.39    0.00    0.64   23.67   850.3M   40.5G  278.5M   84.2G  125.8G   32.18   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
10/11/24-05:25:39  22.24    0.93    2.14    0.00    0.78   23.95   892.8M   40.7G  278.0M   83.9G  125.8G   32.36   
10/11/24-05:25:44  20.46    0.67    1.01    0.00    0.52   21.65   853.1M   40.8G  277.8M   83.9G  125.8G   32.46   
10/11/24-05:25:49   7.76    0.28    0.16    0.00    0.15    8.19   823.0M   40.8G  277.8M   83.9G  125.8G   32.47   
10/11/24-05:25:54   6.49    0.25    0.11    0.00    0.30    7.04   820.3M   40.8G  277.8M   83.9G  125.8G   32.47   
10/11/24-05:25:59   6.54    0.41    0.26    0.00    0.32    7.27   816.6M   40.8G  277.8M   83.9G  125.8G   32.47   
10/11/24-05:26:04   6.69    0.25    0.11    0.00    0.36    7.30   807.9M   40.9G  277.8M   83.9G  125.8G   32.48   
10/11/24-05:26:09   6.48    0.21    0.16    0.00    0.61    7.31   805.6M   40.9G  277.9M   83.9G  125.8G   32.48   
10/11/24-05:26:14   6.46    0.21    0.12    0.00    0.61    7.28   799.9M   40.9G  277.9M   83.9G  125.8G   32.48   
10/11/24-05:26:19   6.55    0.22    0.07    0.00    0.50    7.27   797.8M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:24   6.59    0.17    0.01    0.00    0.55    7.31   796.4M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:29   6.55    0.16    0.01    0.00    0.63    7.34   795.0M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:34   6.59    0.19    0.01    0.00    0.23    7.02   792.7M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:39   6.47    0.19    0.01    0.00    0.09    6.75   791.1M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:44   6.60    0.21    0.01    0.00    0.12    6.92   788.4M   40.9G  277.9M   83.9G  125.8G   32.49   
10/11/24-05:26:49   6.49    0.24    0.01    0.00    0.07    6.80   784.3M   40.9G  277.9M   83.9G  125.8G   32.50   
10/11/24-05:26:54   6.55    0.19    0.00    0.00    0.04    6.79   783.2M   40.9G  277.9M   83.9G  125.8G   32.50   
10/11/24-05:26:59   6.78    0.38    0.10    0.00    0.04    7.19   779.8M   40.9G  278.0M   83.9G  125.8G   32.50   
10/11/24-05:27:04   6.48    0.19    0.01    0.00    0.15    6.83   774.4M   40.9G  278.0M   83.9G  125.8G   32.50   
10/11/24-05:27:09   6.58    0.21    0.01    0.00    0.19    6.98   773.2M   40.9G  278.0M   83.9G  125.8G   32.50   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
