Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
18/11/24-02:48:05   0.66    0.50    0.01    0.00    0.34    1.49     8.3G   86.3G  324.1M   30.9G  125.8G   68.59   
18/11/24-02:48:10   0.64    0.52    0.03    0.00    0.23    1.39     8.3G   86.3G  324.1M   30.9G  125.8G   68.59   
18/11/24-02:48:15   1.35    2.62    0.21    0.00    0.36    4.33     8.2G   86.3G  324.1M   30.9G  125.8G   68.63   
18/11/24-02:48:20  83.97    5.33    0.01    0.00    1.54   90.84     7.5G   87.1G  324.1M   30.9G  125.8G   69.27   
18/11/24-02:48:25  71.16    5.54    0.00    0.00    1.32   78.03     8.3G   86.3G  324.1M   30.9G  125.8G   68.62   
18/11/24-02:48:30  80.59    4.61    0.00    0.00    1.11   86.31     7.5G   87.1G  324.1M   30.9G  125.8G   69.27   
18/11/24-02:48:35  92.97    4.40    0.00    0.00    1.22   98.59     7.4G   87.2G  324.1M   30.9G  125.8G   69.31   
18/11/24-02:48:40  61.37    4.31    0.01    0.00    0.88   66.57     7.5G   87.1G  324.1M   30.9G  125.8G   69.27   
18/11/24-02:48:45  96.19    2.55    0.00    0.00    0.82   99.56     7.4G   87.2G  324.1M   30.9G  125.8G   69.31   
18/11/24-02:48:50  96.10    2.67    0.00    0.00    0.84   99.61     7.4G   87.2G  324.1M   30.9G  125.8G   69.34   
18/11/24-02:48:55  96.51    2.37    0.00    0.00    0.79   99.67     7.3G   87.2G  324.1M   30.9G  125.8G   69.35   
18/11/24-02:49:00  95.68    2.99    0.00    0.00    0.84   99.51     7.3G   87.3G  324.1M   30.9G  125.8G   69.37   
18/11/24-02:49:05  64.49    3.25    0.01    0.00    0.70   68.44     7.8G   86.7G  324.1M   30.9G  125.8G   68.95   
18/11/24-02:49:10  96.46    2.53    0.00    0.00    0.66   99.65     7.4G   87.1G  324.1M   30.9G  125.8G   69.26   
18/11/24-02:49:15  95.56    3.58    0.00    0.00    0.64   99.77     7.4G   87.2G  324.1M   30.9G  125.8G   69.33   
18/11/24-02:49:20  96.92    2.16    0.00    0.00    0.71   99.79     7.3G   87.2G  324.1M   30.9G  125.8G   69.33   
18/11/24-02:49:25  97.26    1.89    0.00    0.00    0.63   99.78     7.3G   87.2G  324.1M   30.9G  125.8G   69.35   
18/11/24-02:49:30  97.11    2.02    0.00    0.00    0.69   99.82     7.3G   87.2G  324.1M   30.9G  125.8G   69.35   
18/11/24-02:49:35  96.90    2.11    0.00    0.00    0.71   99.72     7.3G   87.2G  324.1M   30.9G  125.8G   69.36   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
18/11/24-02:49:40  85.46    2.78    0.00    0.00    0.55   88.80     8.2G   86.3G  324.1M   30.9G  125.8G   68.65   
18/11/24-02:49:45  75.69    1.77    0.02    0.00    0.40   77.87     7.4G   87.2G  324.1M   30.9G  125.8G   69.29   
18/11/24-02:49:50  97.88    1.53    0.00    0.00    0.52   99.93     7.4G   87.2G  324.1M   30.9G  125.8G   69.30   
18/11/24-02:49:55  97.73    1.54    0.00    0.00    0.60   99.87     7.4G   87.2G  324.1M   30.9G  125.8G   69.32   
18/11/24-02:50:00  97.96    1.52    0.00    0.00    0.42   99.90     7.3G   87.2G  324.1M   30.9G  125.8G   69.34   
18/11/24-02:50:05  97.85    1.56    0.00    0.00    0.48   99.88     7.3G   87.2G  324.1M   30.9G  125.8G   69.35   
18/11/24-02:50:10  97.99    1.41    0.00    0.00    0.49   99.90     7.3G   87.2G  324.1M   30.9G  125.8G   69.36   
18/11/24-02:50:15  97.00    2.43    0.00    0.00    0.49   99.92     7.3G   87.3G  324.1M   30.9G  125.8G   69.38   
18/11/24-02:50:20  97.61    1.80    0.00    0.00    0.49   99.90     7.3G   87.3G  324.1M   30.9G  125.8G   69.38   
18/11/24-02:50:25  97.80    1.61    0.00    0.00    0.52   99.93     7.3G   87.3G  324.1M   30.9G  125.8G   69.39   
18/11/24-02:50:30  97.94    1.49    0.00    0.00    0.47   99.89     7.2G   87.3G  324.1M   30.9G  125.8G   69.40   
18/11/24-02:50:35  97.84    1.53    0.00    0.00    0.51   99.88     7.2G   87.3G  324.1M   30.9G  125.8G   69.41   
18/11/24-02:50:40  97.69    1.64    0.00    0.00    0.51   99.84     7.2G   87.3G  324.1M   30.9G  125.8G   69.41   
18/11/24-02:50:45  32.44    1.97    0.00    0.00    0.34   34.75     8.2G   86.3G  324.1M   30.9G  125.8G   68.60   
18/11/24-02:50:50   0.50    0.46    0.05    0.00    0.35    1.31     8.2G   86.3G  324.1M   30.9G  125.8G   68.60   
18/11/24-02:50:55   0.57    0.45    0.01    0.00    0.27    1.29     8.2G   86.3G  324.1M   30.9G  125.8G   68.60   
18/11/24-02:51:00   0.46    0.58    0.00    0.00    0.28    1.31     8.2G   86.3G  324.1M   30.9G  125.8G   68.60   
18/11/24-02:51:05   0.51    0.46    0.01    0.00    0.24    1.22     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:10   0.65    0.41    0.04    0.00    0.24    1.31     8.2G   86.3G  324.1M   30.9G  125.8G   68.60   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
18/11/24-02:51:15   1.08    0.89    0.23    0.00    0.41    2.37     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:20   0.56    0.48    0.08    0.00    0.31    1.35     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:25   0.53    0.46    0.01    0.00    0.41    1.40     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:30   0.55    0.45    0.01    0.00    0.30    1.29     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:35   0.55    0.45    0.01    0.00    0.37    1.36     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:40   0.55    0.39    0.01    0.00    0.41    1.35     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:45   0.54    0.50    0.00    0.00    0.26    1.30     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:50   0.55    0.46    0.05    0.00    0.32    1.33     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:51:55   0.44    0.44    0.01    0.00    0.16    1.04     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:52:00   0.57    0.44    0.01    0.00    0.18    1.19     8.2G   86.3G  324.1M   30.9G  125.8G   68.61   
18/11/24-02:52:05   0.58    0.42    0.01    0.00    0.20    1.20     8.2G   86.3G  324.1M   30.9G  125.8G   68.62   
